Date	Value
INDX042011	91.3
INDX052011	96.2
INDX062011	95.2
INDX072011	95.4
INDX082011	93.2
INDX092011	98.5
INDX102011	99.3
INDX112011	102.8
INDX122011	103.7
INDX012012	104.5
INDX022012	107.0
INDX032012	115.3
INDX042012	114.4
INDX052012	108.8
INDX062012	96.6
INDX072012	102.1
INDX082012	112.4
INDX092012	111.2
INDX102012	106.2
INDX112012	108.1
INDX122012	108.6
INDX012013	110.3
INDX022013	112.4
INDX032013	109.1
INDX042013	103.0
INDX052013	103.4
INDX062013	109.7
INDX072013	111.3
INDX082013	126.5
INDX092013	126.5
INDX102013	124.4
INDX112013	122.4
INDX122013	121.9
INDX012014	118.9
INDX022014	119.2
INDX032014	117.8
INDX042014	118.8
INDX052014	118.8
INDX062014	118.8
INDX072014	118.8
INDX082014	112.9
INDX092014	107.9
INDX102014	97.8
INDX112014	88.8
INDX122014	70.9
INDX012015	56.5
INDX022015	66.4
INDX032015	65.4
INDX042015	68.8
INDX052015	74.4
INDX062015	74.0
INDX072015	69.5
INDX082015	60.6
INDX092015	61.9
INDX102015	61.9
INDX112015	59.6
INDX122015	52.4
INDX012016	45.9
INDX022016	47.9
INDX032016	53.5
INDX042016	56.3
INDX052016	61.1
INDX062016	63.1
INDX072016	61.2
INDX082016	61.8
INDX092016	61.9
INDX102016	63.2
INDX112016	61.9
INDX122016	68.2
INDX012017	70.2
INDX022017	70.0
INDX032017	66.9
INDX042017	63.8
INDX052017	61.7
INDX062017	55.0
INDX072017	55.6
INDX082017	57.6
INDX092017	59.8
INDX102017	65.7
INDX112017	70.4
INDX122017	70.9
INDX012018	73.2
INDX022018	72.6
INDX032018	73.9
INDX042018	80.5
INDX052018	89.2
INDX062018	87.8
INDX072018	88.4
INDX082018	88.4
INDX092018	93.4
INDX102018	98.6
INDX112018	83.3
INDX122018	71.9
INDX012019	73.6
INDX022019	77.7
INDX032019	78.5
INDX042019	82.2
INDX052019	81.7
INDX062019	75.1
INDX072019	75.5
INDX082019	73.4
INDX092019	75.3
INDX102019	75.3
INDX112019	71.9
